repo,number,title,body,state,created_at,updated_at,closed_at,author_login,assignees,comments,labels,milestone,url
pallets/flask,5738,Allow multiple template folders for large projects,"
Jinja2 supports multiple search paths for templates so Flask should do the same. This will allow template inheriting without copying files.


https://github.com/pallets/jinja/blob/main/src/jinja2/loaders.py#L190
",closed,2025-05-20T10:48:36+00:00,2025-05-20T12:19:23+00:00,2025-05-20T12:18:26+00:00,Tobey,[],3,[],,https://github.com/pallets/flask/issues/5738
pallets/flask,5729,The `template_filter` decorator doesn't work if you don't pass an argument,"## What's the issue?

You can use `template_filter` as a decorator, but it only registers the filter if you write an explicit name or an empty set of parentheses. If you call it without parens, the filter doesn't get registered.

It's a small difference and can be confusing.

## Minimal example

Consider the following program:

```python
from flask import Flask, render_template_string


app = Flask(__name__)


@app.template_filter
def double(x):
    return x * 2


@app.route(""/"")
def index():
    return render_template_string(""2 times 2 is {{ 2 | double }}"")
```

If you run this app (`flask run --port 8008 --debug`) and then open it in your browser (`http://localhost:8008`) you'll get an error:

```
jinja2.exceptions.TemplateAssertionError: No filter named 'double'.
```

This is confusing, and it took me a while to realise the missing parentheses in `app.template_filter` were at fault.

## Suggested fix

I think it would be helpful if the decorator either:

* Supported being called without parentheses, or
* Printed an explicit warning if called this way, e.g. `Did you use 'template_filter' as a decorator without parentheses? You need to call it with 'template_filter()'`

This is caught by type checkers, but not everybody type checks their Python and the error message is less obvious:

```
Argument 1 to ""template_filter"" of ""App"" has incompatible type ""Callable[[Any], Any]""; expected ""str | None""
```

I've had a look at the relevant code, and I'd be happy to provide a patch if you think this is a useful change.

## Environment

- Python version: Python 3.11.11
- Flask version: Flask 3.1.0
",open,2025-05-12T08:33:00+00:00,2025-05-17T03:17:09+00:00,,alexwlchan,[],4,[],,https://github.com/pallets/flask/issues/5729
pallets/flask,5726,Adding Architecture Diagram Contribution,"Hello maintainers!
I've created an architecture diagram that visualizes Flask's core components and their relationships. This visualization could help new contributors understand the codebase structure and assist users in grasping Flask's high-level architecture.

![Image](https://github.com/user-attachments/assets/143025cf-6094-4c19-93f5-ac06bfa59738)

[Flask Architecture Diagram on Kloudfarm.io](https://app.kloudfarm.io/share/379c2674f0b240c387a5135690c8f01c8c18a988878e99846fb36ea18ad7e1ef)
The diagram shows:
- Core Flask classes and relationships
- Request/response lifecycle
- Extension integration points
- Blueprint organization

I'd be happy to:

1. Submit a PR to add this to documentation
2. Provide different file formats
3. Create more focused diagrams of specific subsystems

Would this be a helpful addition to the project? Open to any feedback or suggestions.
Thanks!",closed,2025-05-10T16:22:17+00:00,2025-05-10T16:45:20+00:00,2025-05-10T16:45:20+00:00,kiran-kf,[],1,[],,https://github.com/pallets/flask/issues/5726
pallets/flask,5721,Ihmuukin_ai,"<!--
This issue tracker is a tool to address bugs in Flask itself. Please use
GitHub Discussions or the Pallets Discord for questions about your own code.

Replace this comment with a clear outline of what the bug is.
-->

<!--
Describe how to replicate the bug.

Include a minimal reproducible example that demonstrates the bug.
Include the full traceback if there was an exception.
-->

<!--
Describe the expected behavior that should have happened but didn't.
-->

Environment:

- Python version:
- Flask version:
",closed,2025-04-22T11:37:28+00:00,2025-05-07T00:08:54+00:00,2025-04-22T11:40:56+00:00,ihmuukin,[],0,[],,https://github.com/pallets/flask/issues/5721
pallets/flask,5718,"Recommend Warning and Safer Defaults for url_for(..., _external=True)","Hi Flask team,

We recently analyzed several Flask-based applications and noticed a recurring security concern related to url_for(..., _external=True) when used in untrusted request contexts. Specifically, since it uses request.host by default to construct the external URL, applications that do not explicitly configure SERVER_NAME or sanitize headers can be vulnerable to host header injection.

To improve developer awareness and reduce misuse, we suggest: Add a warning to the url_for documentation about the risk of relying on request.host, and recommend the use of SERVER_NAME or trusted_hosts when generating external URLs.

We’d be happy to help draft the relevant documentation or contribute a pull request if this direction aligns with the maintainers' goals.

Best regards,
Rui Yang and Zhengyu Liu
Johns Hopkins University
",open,2025-04-14T03:53:08+00:00,2025-05-02T17:58:01+00:00,,BrookeYangRui,[],5,"[""docs""]",,https://github.com/pallets/flask/issues/5718
pallets/flask,5711,close resources before reload (option --reload),"I have a Flask application that establishes connections to multiple SQLite databases.  When the local development server (werkzeug) is started with option ``--reload`` the connections are not closed on reload, since Python 3.13 this is also logged with a [ResourceWarning](https://docs.python.org/3/whatsnew/3.13.html#sqlite3):

    ResourceWarning: unclosed database in <sqlite3.Connection object at ...>

Since the application (since each thread) establishes various DB connections, the (debug) log is flooded with such warnings during development.

I am aware that the DB connectors can be closed when the context is [torn down](https://flask.palletsprojects.com/en/stable/patterns/sqlite3/), but this is not desired. The DB connections should be open over the entire lifetime of the server (thread).

And the problem is not limited to sqlite3, in general, it would be better to close resources before reloading the modules.

Is there perhaps a hook or another chance with which it would be possible to close open resources?


-----

*I placed it here as a feature-request .. may we better move this issue to werkzeug?*",closed,2025-04-09T14:00:37+00:00,2025-04-24T00:08:23+00:00,2025-04-09T15:00:53+00:00,return42,[],1,[],,https://github.com/pallets/flask/issues/5711
pallets/flask,5709,Reference cycle caused by exception handling,"A reference cycle is introduced by Flask's exception handling mechanism. Specifically, the exception object retains a reference to the stack frame, which in turn holds a reference back to the exception. This creates a reference cycle between the traceback and the exception instance.

This becomes particularly problematic in applications where the garbage collector is disabled (gc.disable()). Even when the GC is enabled, this cycle puts unnecessary pressure on memory management.

The issue originates from the following line in the Flask source code: https://github.com/pallets/flask/blob/9225f8bb28d291b1610c8a58e3233aa6bbdc1808/src/flask/app.py#L1507

The fix is simple: the reference to the exception object should be explicitly released once it is no longer needed.

A minimal reproducible example demonstrating this issue can be found here:
👉 https://github.com/tomasz-pankowski/exception-memory-leak/tree/main

Environment:

- Python version: any
- Flask version: 3.1.0 (earlier ones too)
",closed,2025-04-06T08:05:19+00:00,2025-04-22T00:08:26+00:00,2025-04-07T18:00:31+00:00,tomasz-pankowski,[],0,[],,https://github.com/pallets/flask/issues/5709
pallets/flask,5707,Jija2 security vulnerability,"There is a security vulnerability reported for Jinja2 https://github.com/advisories/GHSA-cpwx-vrp4-4pq7

Solution is to update the Jinja2 version to 3.1.6


Environment:

- Python version: latest
- Flask version: latest
",closed,2025-04-01T13:49:09+00:00,2025-04-16T00:08:38+00:00,2025-04-01T13:51:03+00:00,pdhotems,[],1,[],,https://github.com/pallets/flask/issues/5707
pallets/flask,5692,'pkgutil.get_loader' is removed from Python 3.14,"Per What's new in Python 3.14:
> Remove deprecated pkgutil.get_loader() and pkgutil.find_loader(). These had previously raised a DeprecationWarning since Python 3.12. (Contributed by Bénédikt Tran in gh-97850.)

It manifests in flask's tests: 

```
______________ ERROR at setup of test_prefix_package_paths[True] _______________

request = <SubRequest 'limit_loader' for <Function test_prefix_package_paths[True]>>
monkeypatch = <_pytest.monkeypatch.MonkeyPatch object at 0x7f1fe6cb9b70>

    @pytest.fixture(params=(True, False))
    def limit_loader(request, monkeypatch):
        """"""Patch pkgutil.get_loader to give loader without get_filename or archive.
    
        This provides for tests where a system has custom loaders, e.g. Google App
        Engine's HardenedModulesHook, which have neither the `get_filename` method
        nor the `archive` attribute.
    
        This fixture will run the testcase twice, once with and once without the
        limitation/mock.
        """"""
        if not request.param:
            return
    
        class LimitedLoader:
            def __init__(self, loader):
                self.loader = loader
    
            def __getattr__(self, name):
                if name in {""archive"", ""get_filename""}:
                    raise AttributeError(f""Mocking a loader which does not have {name!r}."")
                return getattr(self.loader, name)
    
>       old_get_loader = pkgutil.get_loader
E       AttributeError: module 'pkgutil' has no attribute 'get_loader'

ERROR tests/test_instance_config.py::test_installed_module_paths[True] - Attr...
ERROR tests/test_instance_config.py::test_installed_package_paths[True] - Att...
ERROR tests/test_instance_config.py::test_prefix_package_paths[True] - Attrib...
```

Run the tests with Python 3.14

Environment:

- Python version: 3.14.0a6
- Flask version: 3.1.0
",closed,2025-03-19T11:08:53+00:00,2025-04-13T00:32:57+00:00,2025-03-29T22:45:22+00:00,befeleme,[],4,[],,https://github.com/pallets/flask/issues/5692
pallets/flask,5691,flask.__init__.__getattr__ can hide typing errors,"admittedly this is a bit of an edge case -- but perhaps if the `__getattr__` pattern is implemented next time for deprecations this can be taken into consideration!

I have an unfortunately-named bit in my webapp called ""flash"" and I've used flask for years and my fingers tend to typo one as the other.

I had a file like this (simplified!):

```python
import flask

flask.FlashMessage
```

which is obviously wrong -- flask doesn't have a `FlashMessage`!  but it was passing mypy due to `def __getattr__(name: str) -> t.Any:` in `__init__.py`

it _might_ be better to guard that behind a `if not t.TYPE_CHECKING: ...` block such that mypy doesn't pick that up and lead to misleading results

not a big deal though and I see that the `__getattr__`  is already removed in mainline

another idea would be to use `@overload` on `__getattr__` such that it only allows the particular Literals? but it looks like mypy doesn't even support that so nevermind! https://github.com/python/mypy/issues/8203#issuecomment-1670344931


Environment:

- Python version: 3.13.1
- Flask version: 3.1.0
",closed,2025-03-08T16:56:50+00:00,2025-04-13T00:32:59+00:00,2025-03-29T22:28:33+00:00,asottile,[],3,[],3.1.1,https://github.com/pallets/flask/issues/5691
