author_login,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
ConnorWallace15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Danferno,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dr-Irv,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KevsterAmp,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Manju080,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Shoestring42,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SofiaSM45,0.0,1.0,0.0,0.0,0.0,0.0,0.0
WillAyd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
afeld,0.0,0.0,1.0,0.0,0.0,0.0,0.0
allrob23,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
arthurlw,0.0,0.2,0.0,0.2,0.4,0.0,0.2
chilin0525,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
cmp0xff,0.0,1.0,0.0,0.0,0.0,0.0,0.0
danielpintosalazar,0.0,0.0,1.0,0.0,0.0,0.0,0.0
datapythonista,0.0,0.0,1.0,0.0,0.0,0.0,0.0
davidism,0.25,0.5833333333333334,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333
dependabot[bot],1.0,0.0,0.0,0.0,0.0,0.0,0.0
eicchen,0.5,0.0,0.5,0.0,0.0,0.0,0.0
gogowitsch,1.0,0.0,0.0,0.0,0.0,0.0,0.0
huisman,1.0,0.0,0.0,0.0,0.0,0.0,0.0
iabhi4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
it176131,0.0,0.0,1.0,0.0,0.0,0.0,0.0
jayaddison,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jorisvandenbossche,0.5,0.0,0.0,0.0,0.0,0.5,0.0
kirisakow,1.0,0.0,0.0,0.0,0.0,0.0,0.0
lithomas1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
loicdiridollou,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mroeschke,0.375,0.0,0.25,0.25,0.125,0.0,0.0
myenugula,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nateprewitt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pbrochart,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pre-commit-ci[bot],1.0,0.0,0.0,0.0,0.0,0.0,0.0
quangngd,1.0,0.0,0.0,0.0,0.0,0.0,0.0
rgommers,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rhshadrach,1.0,0.0,0.0,0.0,0.0,0.0,0.0
star1327p,0.5,0.0,0.5,0.0,0.0,0.0,0.0
theavey,0.0,1.0,0.0,0.0,0.0,0.0,0.0
viable-alternative,0.0,0.0,0.0,0.0,1.0,0.0,0.0
wjandrea,0.0,0.0,0.0,0.0,0.0,1.0,0.0
yanamis,1.0,0.0,0.0,0.0,0.0,0.0,0.0
