author_login,pr_count,processing_time_mean,processing_time_median,processing_time_std,is_merged_mean,comments_mean,comments_sum,commits_mean,commits_max,additions_mean,additions_median,additions_sum,deletions_mean,deletions_median,deletions_sum,changed_files_mean,changed_files_median,changed_files_sum
01DarshanPatni,1,2.0866666666666664,2.0866666666666664,,0.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0
40gilad,1,2.9691666666666667,2.9691666666666667,,0.0,1.0,1.0,6.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0
Abdulkarim28,1,0.09194444444444444,0.09194444444444444,,0.0,1.0,1.0,73.0,73.0,2541.0,2541.0,2541.0,2611.0,2611.0,2611.0,44.0,44.0,44.0
AdamWill,1,0.5722222222222222,0.5722222222222222,,0.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
Akshay9715,1,2.201388888888889,2.201388888888889,,0.0,5.0,5.0,10.0,10.0,50.0,50.0,50.0,11.0,11.0,11.0,5.0,5.0,5.0
AlinaImtiaz018,1,,,,0.0,0.0,0.0,1.0,1.0,978.0,978.0,978.0,568.0,568.0,568.0,27.0,27.0,27.0
AluminumAngel,1,0.3422222222222222,0.3422222222222222,,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0
AmithaMahesh,1,742.2747222222222,742.2747222222222,,0.0,0.0,0.0,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0
AnushaUKumar,1,13.096666666666666,13.096666666666666,,0.0,1.0,1.0,97.7699999999993,97.7699999999993,4045.0,4045.0,4045.0,1863.0,1863.0,1863.0,300.0,300.0,300.0
Arbmani,1,0.021388888888888888,0.021388888888888888,,0.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0
AshleySonny,1,498.5988888888889,498.5988888888889,,0.0,1.0,1.0,1.0,1.0,376.0,376.0,376.0,385.0,385.0,385.0,1.0,1.0,1.0
Badhreesh,2,3.2088888888888887,3.2088888888888887,,0.0,2.0,4.0,9.5,18.0,46.0,46.0,92.0,155.0,155.0,310.0,7.0,7.0,14.0
CatarinaPBressan,2,1.2769444444444444,1.2769444444444444,0.7860670384190452,0.5,2.0,4.0,49.0,97.0,65.0,65.0,130.0,31.5,31.5,63.0,7.5,7.5,15.0
CheeseCake87,1,1446.5502777777779,1446.5502777777779,,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
ComputerScienceGirl12,1,90.48666666666666,90.48666666666666,,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
ConnorWallace15,1,26.62638888888889,26.62638888888889,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
